id	Stance
SMM4H2022e4OIETplIkjV0I8V	noADE
SMM4H2022ZMATVYdmmKWGkRoh	noADE
SMM4H2022V61Tilw8DJvqNqLT	noADE
SMM4H2022mKSqbziPej1yvp4X	noADE
SMM4H2022RV9KzDljn78QqAqi	noADE
SMM4H2022ngpc7Nbxb9h02OM0	noADE
SMM4H2022nOJpqo5rC0ogdEVq	noADE
SMM4H2022x4q7ry4pkPH9926U	noADE
SMM4H2022sg72YlE9B1Y7LRQg	noADE
SMM4H2022GfqUfqpG9OEUYLeu	noADE
SMM4H2022ONiUbZmxTBnzptVN	noADE
SMM4H2022mdZnGIyP5P3HFqP8	noADE
SMM4H2022IMNvdjUbIvxCEobE	noADE
SMM4H2022dswvfedMX24IIrkF	noADE
SMM4H20221PycUk3NYwovuTgy	noADE
SMM4H2022d4gjjQc4takxNmn2	noADE
SMM4H2022dJ061RsUErn2ZKuU	noADE
SMM4H20229w0mr9sqcESK9VW0	noADE
SMM4H2022aMFYAJqZYCAOR4W3	noADE
SMM4H2022YD60C4Sdshh8DJtA	noADE
SMM4H20227t4TRrlMlUhVbC34	noADE
SMM4H2022PDxfWq3wA2yvr2Ua	noADE
SMM4H2022fT0wTqAmGdej5D4V	noADE
SMM4H2022xgK0bgsz7dWxu6Jv	noADE
SMM4H2022UsOrVPnHjHXTdciW	ADE
SMM4H20229OQFVWOLLjf38Deo	noADE
SMM4H2022g5hZg79bqJx8Xk7a	noADE
SMM4H2022cbTMfRRV8UsTaH6O	noADE
SMM4H2022XjPL4mVxuM7OXLEc	noADE
SMM4H2022nqSx5YKgncBmaJ40	noADE
SMM4H2022xaT2n1tyHSP0RYZn	noADE
SMM4H2022BSBSOjDpwg9EdCtF	noADE
SMM4H2022Hfm5rsClInDaS4xl	noADE
SMM4H2022d3Bra0wWY9b7AOLj	noADE
SMM4H2022iaP8JyNiNPi5OUrk	noADE
SMM4H20225roAwNNXMWWzBOGF	noADE
SMM4H2022pBPDdjPM9k0IDC2n	noADE
SMM4H2022616VopRFhTrehMzf	noADE
SMM4H2022NFE9MPjYKS8rpAPy	noADE
SMM4H2022EiYEZkdkrzakr0k1	noADE
SMM4H2022T1eRvxVUlRoaYir7	noADE
SMM4H2022gzCk7os5285KiQj8	noADE
SMM4H202253kQPyEogbn3oe1N	noADE
SMM4H20227fgc68K2dIAbvPLj	noADE
SMM4H20223j9lgGY00q96tXgA	noADE
SMM4H20222VXwfa13mGdhHbed	noADE
SMM4H20223d4bg8BePC7PEhNw	noADE
SMM4H2022wOVKTB2IgNvZVa7c	noADE
SMM4H2022Zp3gWBzL14FRDjV6	noADE
SMM4H2022dkhgchTQfpHb0AkT	noADE
SMM4H2022wpD7vcr4QOoQMxEX	noADE
SMM4H2022m9LlGuCRincmYtqc	noADE
SMM4H2022aZcFt1oKhvEq9HFN	noADE
SMM4H2022a4q2Gzv8ix3OAeGP	noADE
SMM4H2022M4NnoMuRZJQD0Qgu	noADE
SMM4H2022eKxMOEEDKkQTlZBq	noADE
SMM4H2022SXH0nF56kPv60aa8	noADE
SMM4H2022U2oRsoRny0qU1P9S	noADE
SMM4H2022fpbErMaeR9RHJzVU	noADE
SMM4H20226o7CoUDdoKPO03rJ	noADE
SMM4H2022J3okV6p2iHh0FbUV	noADE
SMM4H2022NngxEH7SQCQ4C8wE	noADE
SMM4H2022CbxOsAakVJWimzZc	noADE
SMM4H20226SwdPJeIwdtgHNlJ	noADE
SMM4H2022SflF5H3rQY6MXwjL	noADE
SMM4H2022B4lrCy0vUnNzdWcI	noADE
SMM4H2022ggCddZ7hYuXuXFT6	noADE
SMM4H2022KdYDx77aMUjTZIbw	noADE
SMM4H2022vK1muvKq3tYXjhcF	noADE
SMM4H2022x0osJzveuKXApzoC	noADE
SMM4H2022vQ7ijN1vsR95kc2L	noADE
SMM4H2022S3eveKYvvU5pGMWr	noADE
SMM4H20227OUngIrbMpl5DGuZ	noADE
SMM4H2022mQkRHcIb6pKhaH3r	noADE
SMM4H2022loNDaOf29QKMChJT	noADE
SMM4H2022SoFg1KpplrzACJOh	noADE
SMM4H20223xzBa1j8faA2w98U	noADE
SMM4H2022NUkiYOfT8FuXFnCP	noADE
SMM4H2022ijngyf6Zr3YxhBOp	noADE
SMM4H2022wrkLLeccrVTx5WUh	noADE
SMM4H2022X2y3Mw4dqTTg02gf	noADE
SMM4H2022xSx2XiHTWfHFbALq	noADE
SMM4H2022yj6fHfw2Z3rt2CBV	noADE
SMM4H2022jQXLszCM7URCgjcU	noADE
SMM4H2022grb3peMyLn0aZM4G	noADE
SMM4H2022lXqorTes717kt8nb	noADE
SMM4H2022sxN5RwTpcUhpQFsB	noADE
SMM4H2022kiaE5rbJvj8A2ryR	noADE
SMM4H2022OPwIcBmp4GVcu865	noADE
SMM4H2022jokkI1SAO1fcJUXI	noADE
SMM4H202279mLdQ1MZwsAuhb0	noADE
SMM4H2022vnrOkAHm2B4nUCyg	noADE
SMM4H202299SSb6G2YCyndnzb	noADE
SMM4H2022hSNAsHEiCtf4QEfk	noADE
SMM4H2022UhflrWNzFlh4viGw	noADE
SMM4H2022M0gtxvlx6ZDn86Uh	noADE
SMM4H20223NdHpfZiBdv7RCNL	noADE
SMM4H2022BUTTHhu4dPfxNd35	noADE
SMM4H2022xiK1JcNYj04GwDxC	ADE
SMM4H2022GdDosDZctkyKoL5m	noADE
SMM4H20226XBe9ISHXGmCCXLC	noADE
SMM4H2022OPDYVAbTwrir05ts	noADE
SMM4H2022GgIvANlWCwTzLfQr	noADE
